skus,name,description,category,images
A-1040S;A-1040M;A-1040L;A-1040XL,Weaver Wide Back Seat Floating Dee,"Weaver 6"" wide back comes with seat, 2"" nylon leg straps and one floating Dee-tie in.
<table><tr><th>SKU</th><th>Size</th><th>Waist</th></tr><tr><td>A-1040S</td><td>Small</td><td>28 - 32</td></tr><tr><td>A-1040M</td><td>Medium</td><td>32 - 36</td></tr><tr><td>A-1040L</td><td>Large</td><td>36 - 40</td></tr><tr><td>A-1040XL</td><td>X-Large</td><td>40 - 44</td></tr></table><p>When ordering allow for all seasonal clothing.</p>",Arborist Tree Climbing Gear|Arborist Saddles and Harnesses|Modular Saddles|Tree Climbing System Components|Tree Saddles,https://images.blairsae.com/products/arborist-tree-climbing-gear/weaver-wide-back-seat-floating-dee_1.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/weaver-wide-back-seat-floating-dee_2.jpg
A-0907S;A-0907M;A-0907L;A-0907XL,Bry-Dan Tree Climbing Harness,"Invented by Ed Hobbs in 1969, this belt was so advanced 40 years ago that it is still one of the most comfortable tree climbing harnesses ever made. In 2009, we teamed up with Weaver Leather to modernize the Bry-Dan without comprising its unique and original character. The 40th Anniversary Edition Bry-Dan has an 8-inch wide backpad with improved foam padding for comfort and support. The legstraps are now adjustable which was probably the most requested improvement. The backpad has 6 steel tool rings and two loops of webbing for carrying plenty of gear. The suspenders are integral to the design and are famous for their strength and comfort. Our most enthusiastic customers are climbers who know the pain of carrying a heavy chainsaw on a conventional saddle. The waistbelt threads through loops on the legstraps helping to distribute the load between the legs and the waist belt.
<table>
<tr><th>SKU</th><th>Size</th></tr>
<tr><td>A-0907S</td><td>Small</td></tr>
<tr><td>A-0907M</td><td>Medium</td></tr>
<tr><td>A-0907L</td><td>Large</td></tr>
<tr><td>A-0907XL</td><td>X-Large</td></tr>
</table>",Arborist Tree Climbing Gear|Arborist Saddles and Harnesses|Modular Saddles|Tree Saddles,https://images.blairsae.com/products/arborist-tree-climbing-gear/bry-dan-tree-climbing-harness_1.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/bry-dan-tree-climbing-harness_2.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/bry-dan-tree-climbing-harness_3.jpg
A-1253BOS;A-1253BOM;A-1253BOL;A-1253BOXL,Back Pad for Modular Saddle,"Modular back pads incorporate the waist Dee rings and include a 1 3/4"" neoprene ""nybuck"" waist belt and 2 tool snaps and 2 tool rings. All modular saddles are set-up for use with our Original and Ultralight lower assemblies. 9"" wide Integrated Back Support (IBS) back pad with Back-A-Line system. When ordering allow for all seasonal clothing.
<table>
<tr><th>SKU</th><th>Size</th><th>Waist</th></tr>
<tr><td>A-1253BOS</td><td>Small</td><td>28 - 32</td></tr>
<tr><td>A-1253BOM</td><td>Medium</td><td>32 - 36</td></tr>
<tr><td>A-1253BOL</td><td>Large</td><td>36-40</td></tr>
<tr><td>A-1253BOXL</td><td>X-Large</td><td>40 - 44</td></tr>
</table>",Arborist Tree Climbing Gear|Arborist Saddles and Harnesses|Tree Climbing System Components,https://images.blairsae.com/products/arborist-tree-climbing-gear/back-pad-for-modular-saddle_1.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/back-pad-for-modular-saddle_2.jpg
E-C812;E-C813;E-C817;E-C842;E-C843;E-C847;E-C852;E-C853;E-C857;E-C962;E-C963;E-C967,DMM Carabiners,"<strong>12mm Klettersteig</strong>
Klettersteig biners have a wide gate opening which makes them easy to clip onto the safety cables and attachment points. The large internal volume makes this type of biner well suited to rigging scenarios. It is of course very tough and the zinc plating gives extra corrosion protection.
E-C842,Screwgate-----E-C843,Quicklock-----E-C847,Locksafe---Strength Gate Closed 45kN
<strong>12mm Offset D</strong>
This is a super tough biner capable of dealing with the harshest environments. The offset D shape maximises the strength of the biner by placing the load close and parallel to the spine. It’s so strong that it passes the industry standard ANSI Z359.1. We've also zinc plated the steel to give it more wear resistance.
E-C812,Screwgate-----E-C813,Quicklock-----E-C817,Locksafe---Strength Gate Closed 45kN
<strong>Captive Eye</strong>
The benefit of a captive eye biner is that it provides a predictable direction of load. This design is ideal for use as the end connector on a lanyard, especially when durability and strength are more important than weight. We have zinc plated it to give extra corrosion protection.
E-C962,Screwgate-----E-C963,Quicklock-----E-C967,Locksafe---Strength Gate Closed 45kN
<strong>12mm Boa</strong>
If durability and strength are more important to you than saving weight, then this is the perfect belaying/rigging biner. The Steel Boa may be 266g but it is also incredibly strong (a whopping 40kN Gate closed strength!), plus it has a zinc coating to protect against corrosion. The generous gate opening and large internal volume means it can accommodate multiple knots and is easy to handle in gloves. There is one final advantage too: it is made from smooth 12mm bar which allows easy rotation in attachment eyes.
E-C852,Screwgate-----E-C853,Quicklock-----E-C857Locksafe---Strength Gate Closed 40kN","Arborist Tree Climbing Gear|Captive eye locksafe carabiners for climbing systems|Double locking rope snap hooks|Snaps, Rings, Thimbles and Things",https://images.blairsae.com/products/arborist-tree-climbing-gear/dmm_carabiners_1.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/dmm_carabiners_2.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/dmm_carabiners_3.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/dmm_carabiners_4.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/dmm_carabiners_5.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/dmm_carabiners_6.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/dmm_carabiners_7.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/dmm_carabiners_8.jpg
A-1913S;A-1913D;A-1914,Climber's Gear Bags,"It is a lot easier to have a good ""treeside manner"" when your equipment is organized. These ""tree doctor"" bags go a long ways towards fulfilling that mission. The tops open wide and can hold a climbing line, saddle, spurs, safety gear and still have room left over. High visibility orange color made from heavy duty ripstop nylon fabric. The bottoms are reinforced to support a full load of gear. Six studs on the bottom help to further protect the bottoms of all three models. Quick-release buckles and long nylon straps keep the bags closed. The Deluxe and Standard bags share the same dimensions of  10-inches wide, 22-inches long and 14-inches deep.
<table>
<tr><th>SKU</th><th>Description</th></tr>
<tr><td>A-1913D</td><td>The Deluxe Bag also comes with inside and outside storage compartments measuring 19-inches long, 4-inches deep, and 9-inches high with snap closures. To make it even more Deluxe, it comes with a rain flap that can help to provide some additional weather protection.</td></tr>
<tr><td>A-1913S</td><td>The Standard bag may not have the extra pockets and the rain flap, but if you don't need them, you can get the same great bag for less.</td></tr>
<tr><td>A-1914</td><td>Still trying to get your stuff together? The XL bag is 10-inches wide, 22-inches long and 18-inches deep. It doesn't have the extra pockets but it does have the rain flap.</td></tr>
</table>",Arborist Tree Climbing Gear|Climber's Gear Bags|Gear and rope bags|Ropes|Rope Bags,https://images.blairsae.com/products/arborist-tree-climbing-gear/climbers-gear-bags_1.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/climbers-gear-bags_2.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/climbers-gear-bags_3.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/climbers-gear-bags_4.jpg
H-2000;H-2001;H-2002;H-2003;H-2004;H-2005;H-2100,Rope Bags,"Rope bags are an excellent way to store and deploy climbing and lowering lines.  You'll find your ropes are easier to identify and manage on the job site.  Heavy duty cordura with reinforced handles.  Top nylon fabric top with drawstring closure keeps rope in without stealing volume from the main body of the bag.
<table>
<tr><th>SKU</th><th>Size/Color</th><th>Dimension</th><th>Capacity</th></tr>
<tr><td>H-2000</td><td>Line mug -- Yellow</td><td>4.5 x 6"" rope</td><td>150 x 3mm</td></tr>
<tr><td>H-2100</td><td>Line bucket -- Blue</td><td>7.5 x 8"" rope</td><td>400 x 3mm</td></tr>
<tr><td>H-2001</td><td>Small -- Red</td><td>10 x 9.5"" rope</td><td>120' x 1/2""</td></tr>
<tr><td>H-2002</td><td>Medium -- Yellow</td><td>11 x 10.2"" rope</td><td>150' x 9/16""</td></tr>
<tr><td>H-2003</td><td>Large -- Orange</td><td>11.5 x12"" rope</td><td>150' x 5/8""</td></tr>
<tr><td>H-2004</td><td>XLarge -- Blue</td><td>12 x 16"" rope</td><td>150' x 3/4""</td></tr>
<tr><td>H-2005</td><td>XXLarge -- Teal</td><td>13 x 20"" rope</td><td>150' x 1""</td></tr>
</table>",Arborist Tree Climbing Gear|Climber's Gear Bags|Gear and rope bags|Ropes|Rope Bags,https://images.blairsae.com/products/arborist-tree-climbing-gear/rope-bags_1.jpg
B-14T2;B-16T2;B-14P2,"Bashlin Climbers, Tree & Pole","Bashlin's light aluminum alloy climber has an offset shape with replaceable steel gaff and there rugged steel alloy climber has a roomy ankle area and replaceable gaff. All comes with top and bottom straps. Need to order pads.
<table>
<tr><th>SKU</th><th>Tree or Pole</th><th>Alum or Steel</th><th>Size</th></tr> <tr><td>B-14T2</td><td>Tree</td><td>Aluminum</td><td>3""</td></tr>
<tr><td>B-16T2</td><td>Tree</td><td>Steel</td><td>3""</td></tr>
<tr><td>B-14P2</td><td>Pole</td><td>Aluminum</td><td>1 5/8""</td></tr>
</table>","Arborist Tree Climbing Gear|Climbers, Pads, Straps, Parts",https://images.blairsae.com/products/arborist-tree-climbing-gear/bashlin-climbers-tree-pole_1.jpg
B-105BC,"Bashlin, Spur-Stay, Angled, Climber Pads","Bashlin's Spur-Stay pads have been a mainstay among premium pads for decades. Heavy leather lined with felt and reinforced with a curved steel plate for solid, lasting comfort. There are straight and angled design pads and each brand has its own special pads. These are Angled and fit Bashlin aluminum climbers only. These pads set the climbers on your leg at an angle preferred by many lineman and arborists. Sold in pairs.","Arborist Tree Climbing Gear|Climbers, Pads, Straps, Parts",https://images.blairsae.com/products/arborist-tree-climbing-gear/bashlin-spur-stay-angled-climber-pads_1.jpg
B-105AC,"Bashlin, Spur-Stay, Angled, Climbing Pads","Bashlin's Spur-Stay pads have been a mainstay among premium pads for decades. Heavy leather lined with felt and reinforced with a curved steel plate for solid, lasting comfort. There are straight and angled design pads and each brand has its own special pads. These are Angled and fit Bashlin Steel Climbers. These pads set the climbers on your leg at an angle preferred by many lineman and arborists.","Arborist Tree Climbing Gear|Climbers, Pads, Straps, Parts",https://images.blairsae.com/products/arborist-tree-climbing-gear/bashlin-spur-stay-angled-climbing-pads_1.jpg
B-105B,"Bashlin, Spur-Stay, Straight, Aluminum Climbers","Bashlin's Spur-Stay pads have been a mainstay among premium pads for decades. Heavy leather lined with felt and reinforced with a curved steel plate for solid, lasting comfort. There are straight and angled design pads and each model has its own special pads. These are Straight and fit Bashlin Aluminum climbers. These pads set the climbers on your leg more vertically which many lineman and arborists prefer over the Angled pads.","Arborist Tree Climbing Gear|Climbers, Pads, Straps, Parts",https://images.blairsae.com/products/arborist-tree-climbing-gear/bashlin-spur-stay-straight-aluminum-climbers_1.jpg
B-105A,"Bashlin, Spur-Stay, Straight, Climber Pads","Bashlin's Spur-Stay pads have been a mainstay among premium pads for decades. Heavy leather lined with felt and reinforced with a curved steel plate for solid, lasting comfort. There are straight and angled design pads and each model has its own special pads. These are Straight and fit Bashlin steel climbers only. These pads set the climbers on your leg more vertically which many lineman and arborists prefer over the Angled pads. Sold in pairs.","Arborist Tree Climbing Gear|Climbers, Pads, Straps, Parts",https://images.blairsae.com/products/arborist-tree-climbing-gear/bashlin-spur-stay-straight-climber-pads_1.jpg
B-3502,Buckingham Steel Pads,Buckingham Velcro pads. Well-padded steel reinforced pads fit the major brands of climber. Sold in pairs.,"Arborist Tree Climbing Gear|Climbers, Pads, Straps, Parts",https://images.blairsae.com/products/arborist-tree-climbing-gear/buckingham-steel-pads_1.jpg
B-95059;B-95059;B-9142R,Buckingham Tree/Pole Climbers,"Buckingham climbers are not intended for and should not be used by individuals not properly trained. Use by such persons could cause a fall and result in serious injury or death. Climbers are designed to be used by person with a maximum weight of 350 lbs. when fully equipped.
<table>
<tr><th>SKU</th><th>Tree/Pole</th><th>Size</th><th>Titanium/Steel</th><th>Straps</th><th>L-Pads</th><th>Replace/Non</th></tr>
<tr><td>B-92059</td><td>Pole</td><td>1 1/3</td><td>steel</td><td>yes</td><td>yes</td><td>yes</td></tr>
<tr><td>B-95059</td><td>Tree</td><td>2 1/2</td><td>titanium</td><td>yes</td><td>yes</td><td>yes</td></tr>
<tr><td>B-9142R</td><td>Tree</td><td>3 1/2</td><td>titanium</td><td>yes</td><td>no</td><td>no</td></tr>
</table>","Arborist Tree Climbing Gear|Climbers, Pads, Straps, Parts",https://images.blairsae.com/products/arborist-tree-climbing-gear/buckingham-tree-pole-climbers_1.jpg
B-1900;B-1972AR;B-1986AR,"Klein Climbers, Tree and Pole","Klein manufactures a complete line of rugged pole and tree climbers. They have incorporated the features that professional users have found desirable over the years. Professional users recognize the quality that has gone into the design and construction of Klein pole and tree climbers. However, climbers cannot be more reliable than the person using them. Proper training, inspection, and maintenance are absolutely essential to prevent serious injury or even death. All Klein climbers are boxed bear, need to purchase straps and pads.
<table>
<tr><th>SKU</th><th>Tree/Pole</th><th>Size</th></tr> <tr><td>B-1900</td><td>Tree</td><td>2 3/4""</td></tr>
<tr><td>B-1986AR</td><td>Pole</td><td>1 9/16""</td></tr>
<tr><td>B-1972AR</td><td>Pole</td><td>1 1/2""</td></tr>
</table>","Arborist Tree Climbing Gear|Climbers, Pads, Straps, Parts",https://images.blairsae.com/products/arborist-tree-climbing-gear/klein-climbers-tree-and-pole_1.jpg
B-135;B-135X;B-135XL;B-5311,Straps for Climbers,"Heavy duty nylon top belting climber straps. 1-inch wide nylon belting.
Bottom ankle strap: Two piece, split ring, 1-inch wide nylon belting.
<table>
<tr><th>SKU</th><th>Size</th></tr>
<tr><td>B-135</td><td>22""</td></tr>
<tr><td>B-135X</td><td>26""</td></tr>
<tr><td>B-135XL</td><td>28""</td></tr>
<tr><td>B-5311</td><td>Ankle Split Ring</td></tr>
</table>","Arborist Tree Climbing Gear|Climbers, Pads, Straps, Parts",https://images.blairsae.com/products/arborist-tree-climbing-gear/straps-for-climbers_1.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/straps-for-climbers_2.jpg
B-97157,Weaver Super Climber Pads,"Weaver calls this their ""Super Pad"". The difference between our Euc-Pad and this one is the tunnel for the shank and the slots for the straps. Everything else is the same quality leather and felt padding. Weaver makes our Euc-Pad as an exclusive product. Either pad is excellent.","Arborist Tree Climbing Gear|Climbers, Pads, Straps, Parts",https://images.blairsae.com/products/arborist-tree-climbing-gear/weaver-super-climber-pads_1.jpg
B-5213,Original Euc Pads,This is the Original Euc pad. Heavy-duty leather backed with horse saddle felt. The back of the pad is rounded off so it doesn't get in the way of the back of your knee when climbing. Heavy-duty loops sewn and riveted hold the two straps needed to secure the climber shank to the pad. I still prefer this pad design because the straps permit a little movement to fine-tune the climber shank and pad to the leg. Sold in pairs.,"Arborist Tree Climbing Gear|Climbers, Pads, Straps, Parts|Euc Pads|Spurs, gaffs, hooks, climbing irons",https://images.blairsae.com/products/arborist-tree-climbing-gear/original-euc-pads_1.jpg
B-8820,L Pads for climbers,"L pads.---- Basic, classic, fits all brands of climber. Heavy-duty leather with foam padding. Replacing the traditional leather tabs that were the first to break or tear-out with the tunnel is a significant improvement.","Arborist Tree Climbing Gear|Climbers, Pads, Straps, Parts|L pads|Spurs, gaffs, hooks, climbing irons|Tee pads",https://images.blairsae.com/products/arborist-tree-climbing-gear/l-pads-for-climbers_1.jpg
B-14;B-14T;B-4T;B-4;B-14ATS;B-14TS,Bashlin Climber Replacement Parts,"Eventually, the best cared for gaffs wear down so they have to be replaced. The worst cared for gaffs wear down even faster. Start fresh with a pair of these new replacement gaffs. If you need new screws and slides these are available also.
<table>
<tr><th>SKU</th><th>Replacement</th><th>Tree or Pole</th><th>Size/Length</th><th>Use on/Fits</th></tr>
<tr><td>B-14</td><td>Gaffs</td><td>Pole</td><td>1 5/8""</td><td>B-14T2 & B-16T2</td></tr>
<tr><td>B-14T</td><td>Gaffs</td><td>Tree</td><td>3""</td><td>B14T & B-16T</td></tr>
<tr><td>B-4T</td><td>Screws</td><td>Both</td><td>Sliding Screws</td><td>all</td></tr>
<tr><td>B-4</td><td>Screws</td><td>Both</td><td>Gaff Screws</td><td>all</td></tr>
<tr><td>B-14ATS</td>Slides<td></td><td>Both</td><td>18""-21""</td><td>all</td></tr>
<tr><td>B-14TS</td><td>Slides</td><td>Both</td><td>15""-18""</td><td>all</td></tr>
</table>","Arborist Tree Climbing Gear|Climbers, Pads, Straps, Parts|Spurs, gaffs, hooks, climbing irons",https://images.blairsae.com/products/arborist-tree-climbing-gear/bashlin-climber-replacement-parts_1.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/bashlin-climber-replacement-parts_2.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/bashlin-climber-replacement-parts_3.jpg
B-6025;B-6026;B-6303;B-6306;B-9202;B-9204;B-9206;B-9215;B-9306;B-996;B-TB9206A;B-TB9306,Buckingham Climber Replacement Parts,"There are two styles of replaceable gaffs. PIN STYLE - Available for all existing steel replaceable gaff climbers in the field. Buckingham no longer manufactures pin style replaceable gaff climbers. SCREW STYLE--Available on all titanium and steel replaceable gaff climbers. There are two replacement sleeve fasteners. B-996 is 10/32 threaded, examine the hole in your climber and see if it is threaded. B-9215 is a barrel fastener and screw, if your hole in your climber is smooth use this one. There are two size sleeves B-9204 short adjust from 16 1/4"" - 18 3/4"" and B 9202 long adjust from 19 1/4"" - 21 3/4"" for standard length climbers. The gaff gauge is used to assist with proper gaff width, thickness and point profiles. Gauge only. B-6306 gauge for tree climbers and B-6303 gauge for the pole climbers both come with instructions. The gaff maintenance kit includes a smooth single cut file, gaff gauge and finishing hone with instructions. B-6026 tree climber and B-6025 pole climber.
<p>B-9306, B-9206, B-TB9306, B-TB9206 replacement gaffs</p>
<table>
<tr><th>SKU</th><th>Tree or Pole</th><th>Size/Length</th><th>Screw or Pin</th></tr>
<tr><td>B-9306</td><td>Tree</td><td>2 3/4""</td><td>pin</td></tr>
<tr><td>B-9206</td><td>Pole</td><td>1 3/4""</td><td>pin</td></tr>
<tr><td>B-TB9306</td><td>Tree</td><td>2 3/4""</td><td>screw</td></tr>
<tr><td>B-TB9206</td><td>Pole</td><td>1 3/4""</td><td>screw</td></tr>
<tr><td>B-996</td><td>Both</td><td>threaded</td><td>XX</td></tr>
<tr><td>B-9215</td><td>Both</td><td>smooth</td><td>XX</td></tr>
<tr><td>B-9204</td><td>Both</td><td>16 1/4-18 3/4""</td><td>XX</td></tr>
<tr><td>B-9202</td><td>Both</td><td>19 1/4-21 3/4""</td><td>XX</td></tr>
<tr><td>B-6303</td><td>Pole</td><td>gauge</td><td>XX</td></tr>
<tr><td>B-6306</td><td>Tree</td><td>gauge</td><td>XX</td></tr>
<tr><td>B-6025</td><td>Pole</td><td>kit</td><td>XX</td></tr>
<tr><td>B-6026</td><td>Tree</td><td>kit</td><td>XX</td></tr>
</table>","Arborist Tree Climbing Gear|Climbers, Pads, Straps, Parts|Spurs, gaffs, hooks, climbing irons",https://images.blairsae.com/products/arborist-tree-climbing-gear/buckingham-climber-replacement-parts_1.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/buckingham-climber-replacement-parts_2.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/buckingham-climber-replacement-parts_3.jpg
